                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.4521,                0.39868,                0.87063,                0.97053,                0.98335,                0.99164,                0.94489,                0.25916,                0.22799,                0.79856,              0.0033326,              0.0033326,              0.0033326
                      1,                0.43273,                0.33858,                0.85826,                 0.9765,                0.98808,                0.99215,                0.93106,                0.30104,                0.23093,                0.80323,              0.0065999,              0.0065999,              0.0065999
                      2,                0.48101,                0.38384,                0.87328,                0.97808,                0.98274,                0.99004,                0.91788,                0.33156,                0.25641,                0.81347,              0.0098013,              0.0098013,              0.0098013
                      3,                0.51413,                0.41801,                0.88312,                0.98383,                0.98726,                0.99175,                0.92525,                0.31975,                0.24643,                0.83283,               0.009703,               0.009703,               0.009703
                      4,                0.48929,                0.39286,                0.87745,                0.98739,                0.99096,                0.99365,                0.94086,                0.29419,                0.22762,                 0.8159,               0.009703,               0.009703,               0.009703
                      5,                0.47638,                0.38065,                0.87443,                 0.9895,                0.99058,                0.99428,                0.94184,                0.28476,                0.21696,                0.82475,               0.009604,               0.009604,               0.009604
                      6,                 0.4647,                0.36734,                0.87124,                0.99035,                0.99189,                0.99439,                0.94904,                0.27048,                0.20338,                0.82025,               0.009505,               0.009505,               0.009505
                      7,                0.45492,                 0.3576,                 0.8675,                0.98897,                0.99353,                0.99444,                  0.953,                0.26571,                0.19891,                0.81614,               0.009406,               0.009406,               0.009406
                      8,                0.44937,                0.35265,                0.86769,                0.98885,                0.99297,                0.99454,                0.95413,                0.26123,                0.19419,                0.81686,               0.009307,               0.009307,               0.009307
                      9,                 0.4436,                0.34536,                0.86577,                0.98993,                0.99141,                0.99456,                0.95636,                0.25568,                0.19024,                 0.8148,               0.009208,               0.009208,               0.009208
                     10,                0.43448,                0.34069,                0.86345,                0.99101,                0.99152,                0.99455,                0.95736,                0.25257,                0.18734,                0.81495,               0.009109,               0.009109,               0.009109
                     11,                0.42895,                0.33365,                0.86326,                0.99117,                0.99286,                0.99463,                0.95872,                0.25061,                0.18448,                0.81499,                0.00901,                0.00901,                0.00901
                     12,                0.42755,                0.33024,                0.86171,                0.99069,                0.99323,                0.99458,                0.95993,                0.24803,                 0.1823,                0.81457,               0.008911,               0.008911,               0.008911
                     13,                0.42318,                0.32895,                0.85988,                0.98984,                0.99334,                0.99449,                0.96079,                0.24601,                0.18084,                0.81414,               0.008812,               0.008812,               0.008812
                     14,                 0.4223,                0.32446,                0.86185,                0.99072,                0.99368,                0.99456,                0.96093,                0.24533,                0.17971,                0.81429,               0.008713,               0.008713,               0.008713
                     15,                0.41643,                0.32336,                0.85888,                0.99155,                0.99394,                0.99459,                 0.9613,                0.24472,                0.17896,                0.81436,               0.008614,               0.008614,               0.008614
                     16,                0.41442,                0.31901,                0.85923,                0.99084,                0.99432,                0.99456,                0.96189,                0.24342,                0.17792,                0.81436,               0.008515,               0.008515,               0.008515
                     17,                0.40976,                 0.3169,                 0.8564,                 0.9916,                0.99441,                0.99461,                0.96243,                0.24237,                0.17705,                0.81423,               0.008416,               0.008416,               0.008416
                     18,                0.40881,                0.31633,                 0.8564,                0.99178,                0.99435,                0.99462,                0.96254,                0.24147,                0.17608,                0.81377,               0.008317,               0.008317,               0.008317
                     19,                0.40557,                0.31163,                0.85573,                0.99195,                0.99472,                0.99461,                0.96291,                0.24038,                0.17518,                0.81344,               0.008218,               0.008218,               0.008218
                     20,                0.40648,                0.31103,                0.85621,                0.99238,                0.99493,                0.99465,                0.96326,                0.23931,                0.17445,                0.81317,               0.008119,               0.008119,               0.008119
                     21,                0.40153,                0.30822,                 0.8546,                0.99218,                0.99495,                0.99466,                0.96314,                0.23824,                0.17354,                  0.813,                0.00802,                0.00802,                0.00802
                     22,                0.40058,                0.30664,                0.85452,                0.99246,                0.99425,                0.99466,                0.96345,                0.23727,                0.17288,                0.81285,               0.007921,               0.007921,               0.007921
                     23,                  0.398,                0.30732,                0.85387,                 0.9924,                0.99475,                0.99467,                 0.9638,                0.23625,                0.17235,                0.81258,               0.007822,               0.007822,               0.007822
                     24,                0.39749,                 0.3035,                0.85515,                0.99237,                0.99474,                0.99468,                0.96408,                0.23504,                0.17167,                0.81259,               0.007723,               0.007723,               0.007723
