                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.2922,                0.22963,                0.83665,                0.98489,                0.97416,                0.99186,                0.95472,                0.24827,                0.19212,                0.82559,              0.0033326,              0.0033326,              0.0033326
                      1,                0.33887,                0.26514,                0.84352,                0.98646,                0.98076,                0.99309,                0.94766,                0.26778,                0.20706,                0.82103,              0.0065999,              0.0065999,              0.0065999
                      2,                0.40793,                0.33145,                 0.8639,                0.98085,                0.97796,                0.99226,                0.92993,                0.32434,                0.24754,                0.84809,              0.0098013,              0.0098013,              0.0098013
                      3,                0.46714,                0.38524,                0.88377,                0.98401,                 0.9815,                0.99129,                 0.9308,                0.30964,                0.23761,                0.84403,               0.009703,               0.009703,               0.009703
                      4,                0.45926,                0.37295,                0.88048,                0.98874,                0.98111,                0.99299,                0.94297,                0.28306,                 0.2184,                0.83549,               0.009703,               0.009703,               0.009703
                      5,                0.44917,                0.36025,                0.87629,                0.98565,                 0.9842,                0.99412,                0.94965,                0.27344,                0.20815,                0.83188,               0.009604,               0.009604,               0.009604
                      6,                0.43985,                0.35356,                0.87314,                0.98644,                0.98999,                0.99436,                0.95206,                0.26606,                0.20144,                 0.8297,               0.009505,               0.009505,               0.009505
                      7,                0.43269,                0.34829,                 0.8704,                 0.9874,                0.99144,                0.99428,                0.95543,                0.26203,                0.19625,                0.82937,               0.009406,               0.009406,               0.009406
                      8,                0.43174,                0.34463,                0.87118,                0.98854,                0.99029,                0.99417,                0.95638,                0.25919,                0.19269,                0.82903,               0.009307,               0.009307,               0.009307
                      9,                 0.4257,                0.34004,                0.86943,                0.98788,                0.99065,                0.99415,                0.95774,                0.25679,                0.18893,                0.82783,               0.009208,               0.009208,               0.009208
                     10,                0.42528,                 0.3363,                0.87041,                0.98701,                0.99117,                0.99432,                 0.9586,                0.25694,                0.18741,                0.82837,               0.009109,               0.009109,               0.009109
                     11,                0.41846,                0.33302,                0.86654,                 0.9877,                0.99169,                0.99435,                 0.9586,                0.25597,                0.18595,                0.82777,                0.00901,                0.00901,                0.00901
                     12,                0.41295,                0.32875,                 0.8649,                 0.9876,                 0.9915,                0.99435,                0.95902,                0.25335,                0.18476,                0.82652,               0.008911,               0.008911,               0.008911
                     13,                0.41335,                0.32396,                0.86579,                0.98768,                0.99121,                0.99434,                0.95908,                0.25285,                0.18381,                0.82606,               0.008812,               0.008812,               0.008812
                     14,                0.40854,                0.32334,                0.86358,                0.98907,                0.99104,                0.99436,                0.95949,                0.25211,                0.18286,                0.82557,               0.008713,               0.008713,               0.008713
                     15,                0.40824,                0.32386,                0.86368,                0.98941,                0.99191,                0.99434,                 0.9594,                0.25152,                0.18207,                0.82529,               0.008614,               0.008614,               0.008614
                     16,                0.40677,                0.32109,                0.86302,                0.98896,                0.99227,                0.99435,                0.95991,                0.25034,                0.18104,                0.82495,               0.008515,               0.008515,               0.008515
                     17,                0.40615,                0.31951,                0.86258,                0.98909,                 0.9921,                0.99437,                0.96034,                0.24937,                0.18004,                0.82462,               0.008416,               0.008416,               0.008416
                     18,                0.40312,                0.31784,                0.86179,                0.98984,                 0.9917,                0.99439,                0.96057,                0.24853,                0.17932,                0.82452,               0.008317,               0.008317,               0.008317
                     19,                0.40219,                0.31346,                0.86156,                   0.99,                 0.9917,                0.99443,                0.96168,                0.24768,                 0.1787,                0.82426,               0.008218,               0.008218,               0.008218
                     20,                0.39822,                0.31089,                0.85978,                0.98929,                0.99241,                0.99445,                0.96172,                0.24715,                0.17801,                0.82402,               0.008119,               0.008119,               0.008119
                     21,                0.39927,                0.31298,                 0.8604,                0.98934,                0.99265,                0.99446,                0.96152,                0.24678,                0.17747,                0.82396,                0.00802,                0.00802,                0.00802
                     22,                0.39609,                0.31182,                0.85908,                 0.9897,                0.99233,                0.99447,                0.96153,                0.24635,                0.17694,                0.82375,               0.007921,               0.007921,               0.007921
                     23,                0.39286,                0.30888,                0.85849,                0.98919,                0.99227,                0.99448,                0.96182,                0.24589,                0.17645,                 0.8235,               0.007822,               0.007822,               0.007822
                     24,                0.39393,                0.30564,                0.85944,                0.98946,                0.99157,                0.99447,                0.96225,                0.24537,                 0.1759,                0.82339,               0.007723,               0.007723,               0.007723
                     25,                0.39121,                0.30607,                0.85781,                 0.9902,                0.99125,                0.99447,                0.96244,                 0.2446,                0.17528,                0.82304,               0.007624,               0.007624,               0.007624
                     26,                0.38943,                0.30616,                0.85824,                0.99052,                0.99167,                0.99448,                0.96265,                 0.2441,                0.17482,                0.82272,               0.007525,               0.007525,               0.007525
                     27,                0.38988,                0.30545,                0.85796,                0.99062,                0.99166,                0.99447,                0.96263,                0.24355,                0.17415,                0.82246,               0.007426,               0.007426,               0.007426
                     28,                0.38851,                0.30244,                0.85676,                0.99042,                0.99115,                0.99446,                0.96284,                0.24262,                0.17335,                0.82201,               0.007327,               0.007327,               0.007327
                     29,                0.38682,                0.30101,                0.85653,                0.99061,                0.99089,                0.99446,                0.96312,                0.24223,                0.17272,                0.82178,               0.007228,               0.007228,               0.007228
                     30,                0.38582,                0.30068,                0.85584,                0.98939,                0.99163,                0.99443,                0.96318,                0.24199,                0.17227,                0.82171,               0.007129,               0.007129,               0.007129
                     31,                0.38579,                0.29971,                0.85599,                0.99004,                0.99149,                0.99444,                0.96356,                0.24133,                0.17153,                0.82134,                0.00703,                0.00703,                0.00703
                     32,                0.38227,                0.29718,                0.85462,                0.99084,                0.99099,                0.99445,                0.96345,                0.24085,                 0.1709,                0.82097,               0.006931,               0.006931,               0.006931
                     33,                0.38301,                0.29716,                0.85624,                0.99003,                0.99143,                0.99445,                0.96347,                 0.2403,                0.17029,                 0.8207,               0.006832,               0.006832,               0.006832
                     34,                0.38005,                0.29474,                0.85475,                0.99018,                0.99166,                0.99447,                0.96385,                0.23977,                0.16977,                0.82052,               0.006733,               0.006733,               0.006733
                     35,                0.37762,                0.29481,                0.85451,                0.99053,                0.99175,                0.99448,                0.96393,                0.23908,                0.16932,                0.82029,               0.006634,               0.006634,               0.006634
                     36,                0.37885,                0.29605,                 0.8542,                0.99069,                 0.9916,                0.99451,                0.96389,                0.23847,                0.16891,                0.82008,               0.006535,               0.006535,               0.006535
                     37,                0.37655,                0.28915,                0.85291,                0.99098,                0.99167,                0.99452,                0.96443,                0.23794,                0.16831,                0.81987,               0.006436,               0.006436,               0.006436
                     38,                0.37226,                 0.2898,                0.85224,                0.99179,                0.99176,                0.99453,                0.96443,                0.23747,                0.16775,                0.81967,               0.006337,               0.006337,               0.006337
                     39,                0.37386,                0.28881,                0.85234,                0.99185,                 0.9919,                0.99457,                0.96451,                0.23692,                0.16718,                0.81944,               0.006238,               0.006238,               0.006238
                     40,                0.37213,                0.28685,                0.85163,                0.99224,                0.99224,                0.99458,                0.96455,                0.23664,                0.16656,                 0.8194,               0.006139,               0.006139,               0.006139
                     41,                0.37144,                0.28749,                0.85212,                0.99183,                0.99285,                0.99459,                0.96454,                0.23598,                0.16608,                 0.8191,                0.00604,                0.00604,                0.00604
                     42,                0.36919,                0.28485,                 0.8511,                0.99222,                0.99249,                0.99461,                0.96452,                0.23573,                0.16578,                0.81878,               0.005941,               0.005941,               0.005941
                     43,                0.36666,                 0.2847,                0.85039,                0.99213,                0.99308,                0.99462,                0.96457,                0.23534,                0.16508,                0.81848,               0.005842,               0.005842,               0.005842
                     44,                0.36686,                0.28241,                0.85078,                0.99246,                0.99289,                0.99462,                0.96515,                0.23461,                0.16467,                0.81815,               0.005743,               0.005743,               0.005743
                     45,                0.36718,                0.28158,                0.85071,                0.99187,                0.99349,                0.99462,                0.96517,                0.23408,                0.16421,                0.81796,               0.005644,               0.005644,               0.005644
                     46,                0.36469,                0.28095,                0.85029,                0.99197,                0.99332,                0.99464,                0.96532,                0.23381,                0.16391,                0.81777,               0.005545,               0.005545,               0.005545
                     47,                 0.3632,                0.27897,                0.84845,                0.99215,                 0.9933,                0.99464,                0.96523,                0.23311,                0.16339,                0.81742,               0.005446,               0.005446,               0.005446
                     48,                0.36183,                0.27879,                0.84957,                0.99232,                0.99314,                0.99462,                0.96562,                 0.2329,                0.16306,                 0.8173,               0.005347,               0.005347,               0.005347
                     49,                0.35956,                0.27608,                 0.8478,                 0.9923,                0.99362,                0.99462,                 0.9658,                0.23238,                0.16257,                0.81713,               0.005248,               0.005248,               0.005248
                     50,                0.35895,                0.27599,                0.84808,                0.99255,                0.99368,                0.99463,                0.96596,                0.23187,                0.16225,                0.81696,               0.005149,               0.005149,               0.005149
                     51,                0.35882,                  0.275,                0.84775,                0.99235,                 0.9936,                0.99462,                0.96603,                0.23165,                 0.1618,                0.81678,                0.00505,                0.00505,                0.00505
                     52,                 0.3554,                0.27391,                 0.8474,                0.99221,                 0.9934,                 0.9946,                0.96632,                 0.2313,                0.16139,                0.81647,               0.004951,               0.004951,               0.004951
                     53,                0.35402,                0.27046,                0.84622,                0.99219,                0.99335,                0.99459,                0.96656,                  0.231,                0.16113,                0.81634,               0.004852,               0.004852,               0.004852
                     54,                0.35318,                0.27196,                0.84692,                0.99226,                0.99358,                0.99461,                0.96691,                0.23069,                0.16083,                0.81616,               0.004753,               0.004753,               0.004753
                     55,                0.35136,                0.27081,                0.84429,                 0.9925,                0.99376,                0.99462,                0.96669,                0.22993,                0.16033,                0.81578,               0.004654,               0.004654,               0.004654
                     56,                0.35097,                0.26956,                0.84505,                0.99328,                0.99336,                0.99463,                0.96708,                0.22939,                0.15983,                0.81529,               0.004555,               0.004555,               0.004555
                     57,                0.34831,                0.26628,                0.84507,                0.99331,                0.99323,                0.99463,                0.96716,                0.22875,                0.15914,                0.81499,               0.004456,               0.004456,               0.004456
                     58,                0.34519,                0.26493,                0.84292,                0.99328,                0.99316,                0.99463,                0.96733,                0.22812,                0.15855,                0.81445,               0.004357,               0.004357,               0.004357
                     59,                 0.3449,                0.26406,                0.84344,                0.99361,                0.99337,                0.99466,                0.96759,                0.22775,                0.15812,                0.81399,               0.004258,               0.004258,               0.004258
                     60,                0.34504,                0.26268,                0.84401,                0.99371,                 0.9937,                0.99468,                0.96793,                0.22727,                0.15766,                0.81361,               0.004159,               0.004159,               0.004159
                     61,                 0.3408,                0.26174,                0.84168,                0.99415,                 0.9934,                 0.9947,                0.96828,                0.22652,                0.15735,                0.81307,                0.00406,                0.00406,                0.00406
                     62,                0.34259,                0.25927,                0.84291,                0.99383,                0.99353,                 0.9947,                0.96871,                0.22585,                0.15693,                0.81265,               0.003961,               0.003961,               0.003961
                     63,                0.34059,                0.25841,                0.84347,                0.99381,                0.99366,                 0.9947,                0.96879,                0.22524,                0.15635,                0.81251,               0.003862,               0.003862,               0.003862
                     64,                0.33723,                0.25735,                0.84085,                0.99368,                0.99371,                 0.9947,                0.96931,                0.22457,                0.15585,                0.81208,               0.003763,               0.003763,               0.003763
