                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.23066,                0.18497,                0.81892,                 0.9977,                 0.9979,                0.99476,                0.97404,                0.17278,                0.12717,                0.74505,              0.0033326,              0.0033326,              0.0033326
                      1,                0.27248,                0.20743,                 0.8268,                0.99469,                0.99656,                0.99459,                0.96537,                0.20363,                0.14977,                0.74601,              0.0065999,              0.0065999,              0.0065999
                      2,                0.34058,                0.27226,                0.84508,                0.99028,                0.99175,                0.99459,                 0.9477,                0.23098,                0.18055,                0.75527,              0.0098012,              0.0098012,              0.0098012
                      3,                0.39524,                0.32318,                0.86098,                0.99167,                 0.9963,                 0.9944,                 0.9515,                0.22976,                 0.1767,                0.76112,               0.009703,               0.009703,               0.009703
                      4,                 0.3898,                0.31269,                0.86054,                0.99583,                0.99615,                0.99483,                0.95955,                0.21571,                0.16606,                0.76964,               0.009703,               0.009703,               0.009703
                      5,                0.38031,                0.30301,                0.85669,                0.99461,                0.99646,                0.99485,                0.96154,                0.20655,                0.15891,                0.75991,               0.009604,               0.009604,               0.009604
                      6,                0.37363,                0.29477,                0.85452,                 0.9961,                0.99683,                0.99486,                0.96118,                0.19848,                0.15071,                0.76486,               0.009505,               0.009505,               0.009505
                      7,                 0.3678,                0.28953,                 0.8537,                 0.9955,                0.99732,                0.99482,                0.96146,                0.19751,                0.14967,                0.76794,               0.009406,               0.009406,               0.009406
                      8,                0.36504,                0.28632,                0.85281,                0.99432,                0.99702,                0.99486,                0.96361,                0.19026,                0.14464,                 0.7655,               0.009307,               0.009307,               0.009307
                      9,                0.35917,                0.28078,                0.85142,                0.99473,                 0.9978,                0.99487,                0.96546,                0.18627,                0.13991,                0.76572,               0.009208,               0.009208,               0.009208
                     10,                0.35649,                0.27709,                0.85031,                0.99715,                0.99772,                0.99484,                0.96604,                0.18307,                0.13703,                0.76318,               0.009109,               0.009109,               0.009109
                     11,                0.35362,                0.27594,                0.85022,                0.99708,                 0.9981,                0.99484,                0.96813,                0.18192,                0.13598,                0.76731,                0.00901,                0.00901,                0.00901
                     12,                 0.3491,                0.27028,                0.84837,                0.99712,                0.99814,                0.99484,                0.97014,                0.18124,                0.13476,                0.76694,               0.008911,               0.008911,               0.008911
                     13,                0.34689,                0.27018,                0.84659,                 0.9971,                0.99812,                0.99485,                0.97131,                0.18015,                0.13323,                0.76368,               0.008812,               0.008812,               0.008812
                     14,                0.34506,                 0.2687,                 0.8466,                0.99723,                0.99789,                0.99486,                0.97213,                0.17905,                0.13209,                0.76234,               0.008713,               0.008713,               0.008713
                     15,                0.34219,                0.26607,                0.84591,                0.99707,                0.99796,                0.99485,                0.97226,                0.17878,                0.13127,                0.76214,               0.008614,               0.008614,               0.008614
                     16,                0.34057,                0.26306,                0.84512,                0.99697,                0.99795,                0.99485,                0.97256,                 0.1781,                0.13043,                0.76133,               0.008515,               0.008515,               0.008515
