                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.66307,                  1.599,                0.95054,                0.97291,                0.80203,                0.82186,                0.69664,                 0.4998,                0.64493,                  0.805,              0.0033322,              0.0033322,              0.0033322
                      1,                0.64821,                0.76375,                0.94648,                0.97795,                0.81148,                0.82462,                0.70211,                0.49989,                0.44733,                 0.8434,              0.0065995,              0.0065995,              0.0065995
                      2,                0.68112,                0.63416,                0.96997,                0.96979,                0.80509,                0.82443,                0.70057,                0.54095,                0.42201,                0.88437,              0.0098009,              0.0098009,              0.0098009
                      3,                0.66917,                0.57678,                0.97141,                0.98731,                0.82136,                0.82637,                0.72562,                0.47086,                0.35063,                0.86056,               0.009703,               0.009703,               0.009703
                      4,                0.61702,                0.50367,                0.95337,                0.98851,                0.82315,                0.89072,                0.77632,                0.43718,                0.31349,                0.84625,               0.009703,               0.009703,               0.009703
                      5,                0.58912,                 0.4663,                0.94508,                0.99022,                0.82344,                0.83176,                0.75553,                 0.4063,                 0.2922,                 0.8386,               0.009604,               0.009604,               0.009604
                      6,                 0.5643,                0.43987,                0.93499,                0.99073,                0.82598,                0.87359,                0.79024,                0.39901,                0.27423,                0.83635,               0.009505,               0.009505,               0.009505
                      7,                0.54789,                 0.4214,                0.92806,                0.99168,                0.82722,                0.93638,                 0.8349,                0.38322,                0.26104,                0.82833,               0.009406,               0.009406,               0.009406
                      8,                  0.535,                0.40661,                0.92315,                0.99088,                0.82819,                 0.9171,                0.82771,                0.37298,                0.24484,                0.83009,               0.009307,               0.009307,               0.009307
                      9,                0.52524,                0.39368,                0.91986,                0.99144,                0.82844,                0.94885,                 0.8583,                0.37067,                0.23461,                0.82772,               0.009208,               0.009208,               0.009208
                     10,                0.52067,                0.39061,                0.91824,                0.95822,                0.83209,                0.98099,                0.88299,                0.35712,                0.23115,                0.81979,               0.009109,               0.009109,               0.009109
                     11,                0.50941,                0.37738,                0.91216,                0.93402,                0.96763,                0.97257,                 0.8769,                0.35356,                  0.223,                0.81819,                0.00901,                0.00901,                0.00901
                     12,                0.50336,                0.36914,                 0.9121,                0.97844,                0.95855,                0.98388,                0.88766,                0.34448,                 0.2157,                0.81777,               0.008911,               0.008911,               0.008911
                     13,                0.50067,                0.36524,                0.90927,                 0.9902,                 0.9699,                0.98497,                0.89545,                0.34048,                0.21058,                0.81038,               0.008812,               0.008812,               0.008812
                     14,                0.49677,                0.36007,                0.90964,                0.96107,                0.96886,                0.97919,                0.88254,                0.33821,                0.20788,                0.81392,               0.008713,               0.008713,               0.008713
                     15,                0.48987,                0.35959,                 0.9051,                0.96837,                0.95866,                0.97829,                 0.8889,                0.33472,                 0.2047,                0.80956,               0.008614,               0.008614,               0.008614
                     16,                0.48322,                0.35228,                0.90327,                0.97147,                0.95727,                0.97698,                 0.9026,                0.33229,                0.20217,                0.80822,               0.008515,               0.008515,               0.008515
                     17,                0.48044,                0.34546,                0.90277,                0.97521,                0.95915,                0.98003,                0.90276,                0.33063,                0.19971,                0.80806,               0.008416,               0.008416,               0.008416
                     18,                0.47789,                0.34388,                0.89978,                0.98495,                 0.9703,                0.98404,                0.90674,                 0.3288,                0.19727,                0.80617,               0.008317,               0.008317,               0.008317
                     19,                0.47436,                0.34024,                0.90021,                0.98619,                0.96803,                0.98378,                0.90922,                0.32686,                0.19627,                0.80546,               0.008218,               0.008218,               0.008218
                     20,                0.47066,                0.33795,                0.89888,                0.99297,                0.97089,                0.98602,                0.91236,                 0.3251,                0.19533,                 0.8051,               0.008119,               0.008119,               0.008119
                     21,                0.46804,                 0.3364,                0.89674,                0.99098,                0.97037,                0.98641,                0.91162,                0.32354,                0.19482,                0.80424,                0.00802,                0.00802,                0.00802
                     22,                 0.4659,                0.33241,                0.89695,                0.99143,                0.96972,                 0.9872,                0.90877,                0.32247,                0.19397,                0.80409,               0.007921,               0.007921,               0.007921
                     23,                0.46338,                0.32952,                0.89579,                0.98883,                0.97008,                0.98712,                0.91246,                0.32149,                0.19316,                0.80428,               0.007822,               0.007822,               0.007822
