                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.30489,                0.25657,                0.83941,                0.99169,                0.99171,                 0.9945,                0.95957,                0.19835,                0.16266,                0.76125,              0.0033325,              0.0033325,              0.0033325
                      1,                 0.3192,                0.25023,                0.83631,                 0.9823,                0.99194,                0.99448,                0.95082,                0.21358,                0.17456,                0.75505,              0.0065998,              0.0065998,              0.0065998
                      2,                0.37269,                0.30005,                 0.8502,                0.98825,                0.98556,                0.99397,                0.93658,                0.26157,                0.21792,                0.77002,              0.0098012,              0.0098012,              0.0098012
                      3,                0.41599,                0.33888,                0.86448,                0.99256,                0.99055,                0.99478,                0.94097,                0.25241,                0.20129,                0.77853,               0.009703,               0.009703,               0.009703
                      4,                0.40742,                0.32816,                0.86226,                0.99436,                0.99539,                0.99473,                0.94985,                 0.2366,                0.18719,                0.78191,               0.009703,               0.009703,               0.009703
                      5,                0.39913,                 0.3199,                0.85973,                0.99417,                0.99479,                0.99487,                0.94864,                0.21889,                0.17779,                0.77433,               0.009604,               0.009604,               0.009604
                      6,                0.38966,                0.31183,                0.85794,                0.99012,                0.99437,                0.99481,                0.96356,                0.20527,                0.16626,                0.77103,               0.009505,               0.009505,               0.009505
                      7,                0.38184,                 0.3066,                0.85565,                0.99497,                0.99511,                0.99477,                0.96432,                0.20023,                0.16223,                0.77712,               0.009406,               0.009406,               0.009406
                      8,                0.37659,                0.29896,                0.85287,                0.99516,                0.99594,                0.99475,                0.96514,                0.19297,                0.15458,                0.76795,               0.009307,               0.009307,               0.009307
                      9,                0.37201,                0.29377,                0.85149,                0.99237,                0.99558,                0.99477,                0.96693,                0.18624,                0.15024,                0.76709,               0.009208,               0.009208,               0.009208
                     10,                0.36516,                0.28907,                0.84927,                0.99367,                0.99556,                0.99477,                0.96913,                0.18276,                 0.1472,                0.76575,               0.009109,               0.009109,               0.009109
                     11,                0.36388,                0.28605,                 0.8491,                0.99323,                0.99635,                0.99481,                 0.9694,                0.18146,                0.14421,                0.75926,                0.00901,                0.00901,                0.00901
                     12,                0.35956,                0.28332,                0.84769,                0.99634,                0.99658,                0.99483,                0.97029,                0.17925,                0.14205,                0.76038,               0.008911,               0.008911,               0.008911
                     13,                0.35507,                0.27766,                0.84634,                0.99701,                0.99643,                0.99483,                0.96952,                0.17851,                0.13975,                0.76049,               0.008812,               0.008812,               0.008812
                     14,                0.35543,                0.27941,                0.84743,                0.99438,                0.99632,                0.99481,                0.96845,                0.17717,                0.13815,                0.76259,               0.008713,               0.008713,               0.008713
                     15,                 0.3506,                0.27432,                0.84397,                0.99583,                0.99625,                0.99481,                0.97018,                0.17567,                0.13698,                0.76131,               0.008614,               0.008614,               0.008614
                     16,                0.34809,                0.27431,                0.84383,                0.99565,                0.99628,                0.99483,                0.96989,                0.17471,                0.13651,                0.76038,               0.008515,               0.008515,               0.008515
                     17,                0.34458,                0.27011,                0.84366,                0.99668,                0.99618,                0.99483,                0.97035,                0.17395,                0.13588,                0.76096,               0.008416,               0.008416,               0.008416
                     18,                0.34391,                0.26943,                 0.8428,                0.99591,                0.99616,                0.99483,                 0.9707,                0.17311,                0.13528,                0.76091,               0.008317,               0.008317,               0.008317
                     19,                0.33869,                0.26597,                0.84084,                0.99639,                0.99619,                0.99484,                0.97041,                0.17242,                0.13462,                0.76044,               0.008218,               0.008218,               0.008218
                     20,                0.34035,                0.26671,                0.84144,                0.99691,                0.99611,                0.99484,                0.97148,                0.17212,                0.13399,                0.76016,               0.008119,               0.008119,               0.008119
                     21,                0.33774,                0.26334,                0.84136,                0.99672,                0.99654,                0.99484,                0.97139,                0.17141,                0.13352,                0.76011,                0.00802,                0.00802,                0.00802
                     22,                 0.3363,                0.26126,                0.84062,                0.99673,                0.99669,                0.99484,                0.97167,                0.17074,                0.13308,                0.75915,               0.007921,               0.007921,               0.007921
                     23,                0.33386,                0.26111,                0.84038,                0.99686,                0.99658,                0.99483,                0.97211,                0.17026,                0.13262,                0.75977,               0.007822,               0.007822,               0.007822
